month,genre1,genre2,genre3,genre4,genre5
5,Action,Adventure,Fantasy,SF,#N/A
5,Mystery,Horror,Thriller,Drama,#N/A
5,Documentary,#N/A,#N/A,#N/A,#N/A
5,SF,Thriller,Horror,#N/A,#N/A
5,Crime,Action,Drama,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Action,Adventure,Drama,Fantasy,#N/A
5,Thriller,Suspense,#N/A,#N/A,#N/A
5,Crime,Action,#N/A,#N/A,#N/A
5,Action,Adventure,Comedy,SF,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Drama,Comedy,#N/A,#N/A,#N/A
5,Mystery,#N/A,#N/A,#N/A,#N/A
5,Horror,Thriller,#N/A,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Crime,Action,#N/A,#N/A,#N/A
5,Comedy,Action,#N/A,#N/A,#N/A
5,Drama,Comedy,#N/A,#N/A,#N/A
5,Action,Adventure,Comedy,#N/A,#N/A
5,Action,Adventure,SF,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
6,War,Drama,#N/A,#N/A,#N/A
6,Drama,#N/A,#N/A,#N/A,#N/A
6,Action,Comedy,#N/A,#N/A,#N/A
6,Action,Adventure,Thriller,#N/A,#N/A
6,Comedy,Drama,Melodrama/Romance,#N/A,#N/A
6,Drama,#N/A,#N/A,#N/A,#N/A
6,Action,Drama,Family,#N/A,#N/A
6,Thriller,Action,Drama,#N/A,#N/A
6,SF,Action,Adventure,#N/A,#N/A
6,Horror,Mystery,#N/A,#N/A,#N/A
6,Drama,#N/A,#N/A,#N/A,#N/A
6,Mystery,SF,Thriller,#N/A,#N/A
6,Drama,Thriller,#N/A,#N/A,#N/A
6,Crime,Drama,Thriller,#N/A,#N/A
6,Drama,#N/A,#N/A,#N/A,#N/A
6,Action,Adventure,Thriller,#N/A,#N/A
6,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
6,SF,Thriller,#N/A,#N/A,#N/A
6,Comedy,Action,#N/A,#N/A,#N/A
6,Comedy,#N/A,#N/A,#N/A,#N/A
6,SF,Action,Thriller,#N/A,#N/A
6,Action,Drama,Comedy,#N/A,#N/A
6,Action,Adventure,Fantasy,SF,#N/A
6,Horror,Thriller,#N/A,#N/A,#N/A
6,Action,Drama,#N/A,#N/A,#N/A
6,Horror,#N/A,#N/A,#N/A,#N/A
6,SF,Action,Adventure,#N/A,#N/A
6,Action,SF,#N/A,#N/A,#N/A
6,Action,Drama,#N/A,#N/A,#N/A
6,Action,Noir,#N/A,#N/A,#N/A
6,Noir,Action,#N/A,#N/A,#N/A
6,Fantasy,Melodrama/Romance,#N/A,#N/A,#N/A
6,Drama,#N/A,#N/A,#N/A,#N/A
6,Action,Adventure,SF,Thriller,#N/A
6,Drama,Crime,#N/A,#N/A,#N/A
6,Action,Drama,Thriller,#N/A,#N/A
6,Drama,#N/A,#N/A,#N/A,#N/A
6,Mystery,Drama,#N/A,#N/A,#N/A
6,Thriller,Drama,#N/A,#N/A,#N/A
6,Adventure,Drama,#N/A,#N/A,#N/A
6,Comedy,Drama,#N/A,#N/A,#N/A
6,Horror,#N/A,#N/A,#N/A,#N/A
6,Action,Adventure,SF,#N/A,#N/A
6,Crime,Drama,#N/A,#N/A,#N/A
6,Action,Adventure,Fantasy,#N/A,#N/A
6,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
6,Action,Adventure,#N/A,#N/A,#N/A
6,Action,Thriller,#N/A,#N/A,#N/A
6,Thriller,#N/A,#N/A,#N/A,#N/A
6,Action,Adventure,Fantasy,SF,#N/A
6,Action,Adventure,SF,#N/A,#N/A
6,Drama,Adventure,Melodrama/Romance,#N/A,#N/A
6,Action,#N/A,#N/A,#N/A,#N/A
6,Thriller,#N/A,#N/A,#N/A,#N/A
6,Action,Noir,#N/A,#N/A,#N/A
6,Action,Adventure,SF,#N/A,#N/A
6,Mystery,Action,#N/A,#N/A,#N/A
6,Comedy,Crime,#N/A,#N/A,#N/A
6,Action,Crime,#N/A,#N/A,#N/A
6,Drama,#N/A,#N/A,#N/A,#N/A
6,Comedy,#N/A,#N/A,#N/A,#N/A
6,Action,Crime,Drama,Thriller,#N/A
6,Action,Drama,#N/A,#N/A,#N/A
6,Action,Crime,Thriller,#N/A,#N/A
6,Action,Adventure,SF,#N/A,#N/A
